Номер замовлення,Клієнт,Дата,Сума
1,Іван Петренко,2024-01-05,1500
2,Олена Коваль,2024-01-07,2300
3,Іван Петренко,2024-01-10,800
4,Сергій Бондар,2024-01-12,4500
5,Олена Коваль,2024-01-15,1200
6,Марія Шевченко,2024-01-18,3000
7,Іван Петренко,2024-01-20,950
8,Сергій Бондар,2024-01-22,1750
9,Марія Шевченко,2024-01-25,2200
10,Олена Коваль,2024-01-28,600
11,Андрій Лисенко,2024-02-02,3300
12,Іван Петренко,2024-02-05,1100
13,Сергій Бондар,2024-02-08,5200
14,Марія Шевченко,2024-02-11,1800
15,Андрій Лисенко,2024-02-14,2700
16,Олена Коваль,2024-02-17,1400
17,Іван Петренко,2024-02-20,900
18,Андрій Лисенко,2024-02-23,3100
19,Сергій Бондар,2024-02-26,2000
20,Марія Шевченко,2024-03-01,1650
